32.2374,19.3579
30.766,20.1732
29.0765,20.6488
27.285,20.8488
25.5442,21.0395
23.7676,21.2033
21.9397,21.3228
20.0715,21.4156
18.1281,21.4488
16.0765,21.4215
13.8579,21.3265
11.6066,21.184
9.50432,21.0264
7.65367,20.8821
5.94169,20.5245
4.39668,19.8474
3.07447,18.818
2.01287,17.4695
1.25166,15.8924
0.79134,14.1669
0.609702,12.3558
0.670098,10.5024
0.797371,8.69293
0.964092,6.89508
1.15488,5.09191
1.32395,3.28915
1.46065,1.48936
1.55562,-0.298982
1.60094,-2.06792
1.58911,-3.81652
1.56625,-5.59937
1.43988,-7.4122
1.11969,-9.26034
0.791406,-11.3755
0.462731,-13.715
0.13961,-16.1212
-0.15202,-18.4276
-0.401673,-20.5089
-0.621618,-22.3274
-0.584262,-24.089
-0.21761,-25.7642
0.50352,-27.2673
1.56702,-28.488
2.94577,-29.3369
4.58801,-29.8014
6.37169,-29.906
8.09632,-29.9882
9.85902,-30.0489
11.6687,-30.0829
13.4973,-30.1201
15.3403,-30.1647
17.2482,-30.1772
19.3693,-30.1485
21.6596,-30.0875
23.9622,-29.994
26.0882,-29.8894
27.9367,-29.8043
29.6524,-29.4942
31.2081,-28.8544
32.5156,-27.8629
33.5399,-26.526
34.2341,-24.9431
34.5988,-23.2095
34.6647,-21.3966
34.5119,-19.566
34.3356,-17.7821
34.1714,-16.0078
33.9738,-14.211
33.8316,-12.42
33.7299,-10.6394
33.6856,-8.88521
33.6822,-7.14803
33.7125,-5.3921
33.853,-3.56664
34.0705,-1.5967
34.3119,0.55614
34.5678,2.83831
34.7766,5.21111
34.9548,7.51667
35.094,9.65989
35.2302,11.5695
35.2134,13.3791
34.925,15.1288
34.3346,16.7619
33.4322,18.2021
